Date,Sun Hours,Meter 998: Previous,Meter 998: Today,Meter 998: Genreated,Meter 003: Previous,Meter 003: Today,Meter 003: Generated,Totals: Previous,Totals: Today,Totals: Period Generated,Payments: Today,Payments: Total,Export meter: Previous,Export meter: Today,Export meter: Period Exported,EXP payments: Today,EXP payments: Total,Total Paymets: Today,Total Paymets: Total,Savings: Today,Savings: Total,S+P: Today,S+P: Running Total,Pay Back,Net gain
28.9.12,157.1,0,932,932,0,944,944,0,1876,1876,£285,£285,0,1532,1532,£49,£49,£334,£334,£44,£44,£378,£378,"£31,622","-£31,622"
30.10.12,76.1,932,1383,451,944,1401,457,1876,2784,908,£138,£423,1532,2274,742,£24,£73,£162,£496,£21,£65,£183,£561,"£31,439","-£31,439"
26.11.12,66.8,1383,1779,396,1401,1803,402,2784,3582,798,£121,£544,2274,2926,652,£21,£94,£142,£638,£19,£84,£161,£722,"£31,278","-£31,278"
31.12.12,67.7,1779,2119,340,1803,2120,317,3582,4239,657,£100,£644,2926,3485,559,£18,£112,£118,£756,£13,£97,£130,£852,"£31,148","-£31,148"
30.1.13,59.3,2119,2491,372,2120,2491,371,4239,4982,743,£113,£757,3485,4013,528,£17,£129,£130,£886,£27,£124,£157,"£1,009","£30,991","-£30,991"
26.2.13,56.7,2491,2847,356,2491,2846,355,4982,5693,711,£108,£865,4013,4518,505,£16,£145,£124,"£1,010",£26,£151,£150,"£1,160","£30,840","-£30,840"
28.3.13,78.6,2847,3340,493,2846,3338,492,5693,6678,985,£150,"£1,015",4518,5218,700,£22,£167,£172,"£1,182",£36,£187,£208,"£1,368","£30,632","-£30,632"
29.4.13,169.6,3340,4540,1200,3338,4540,1202,6678,9080,2402,£365,"£1,380",5218,7205,1987,£63,£230,£429,"£1,611",£53,£240,£482,"£1,850","£30,150","-£30,150"
27.5.13,191.6,4540,5896,1356,4540,5898,1358,9080,11794,2714,£412,"£1,793",7205,9450,2245,£72,£302,£485,"£2,095",£60,£300,£544,"£2,394","£29,606","-£29,606"
30.6.13,173,5896,7120,1224,5898,7124,1226,11794,14244,2450,£372,"£2,165",9450,11477,2027,£65,£367,£438,"£2,533",£54,£354,£492,"£2,886","£29,114","-£29,114"
30.7.13,287,7120,8993,1873,7124,8998,1874,14244,17991,3747,£569,"£2,734",11477,14638,3161,£101,£468,£671,"£3,204",£75,£429,£746,"£3,632","£28,368","-£28,368"
28.8.13,162.2,8993,10052,1059,8998,10057,1059,17991,20109,2118,£322,"£3,056",14638,16424,1786,£57,£526,£379,"£3,583",£42,£471,£422,"£4,053","£27,947","-£27,947"
1.10.13,97.6,10052,10689,637,10057,10694,637,20109,21383,1274,£194,"£3,250",16424,17499,1075,£34,£560,£228,"£3,811",£26,£497,£254,"£4,307","£27,693","-£27,693"
30.10.13,97.8,10689,11145,456,10694,11148,454,21383,22293,910,£138,"£3,388",17499,18156,657,£21,£581,£159,"£3,970",£37,£534,£196,"£4,503","£27,497","-£27,497"
29.11.13,78.3,11145,11510,365,11148,11511,363,22293,23021,728,£111,"£3,499",18156,18682,526,£17,£598,£128,"£4,098",£29,£563,£157,"£4,660","£27,340","-£27,340"
27.12.13,57.6,11510,11778,268,11511,11778,267,23021,23556,535,£81,"£3,580",18682,19069,387,£12,£610,£94,"£4,192",£22,£585,£116,"£4,776","£27,224","-£27,224"
31.1.14,61.8,11778,12121,343,11778,12122,344,23556,24243,687,£107,"£3,687",19069,19591,522,£17,£627,£124,"£4,316",£24,£609,£148,"£4,924","£27,076","-£27,076"
27.2.14,95,12121,12648,527,12122,12650,528,24243,25298,1055,£165,"£3,852",19591,20394,803,£27,£654,£191,"£4,508",£37,£646,£228,"£5,153","£26,847","-£26,847"
29.3.14,139.3,12648,13421,773,12650,13425,775,25298,26846,1548,£241,"£4,093",20394,21572,1178,£39,£693,£280,"£4,788",£54,£700,£334,"£5,487","£26,513","-£26,513"
30.4.14,142.8,13421,14411,990,13425,14423,998,26846,28834,1988,£320,"£4,413",21572,23210,1638,£55,£748,£375,"£5,163",£51,£751,£426,"£5,913","£26,087","-£26,087"
29.5.14,174.2,14411,15619,1208,14423,15640,1217,28834,31259,2425,£390,"£4,803",23210,25208,1998,£67,£816,£458,"£5,621",£62,£813,£520,"£6,433","£25,567","-£25,567"
28.6.14,219.8,15619,17143,1524,15640,17176,1536,31259,34319,3060,£492,"£5,295",25208,27729,2521,£85,£901,£577,"£6,198",£79,£892,£656,"£7,089","£24,911","-£24,911"
29.7.14,248,17143,18849,1706,17176,18909,1733,34319,37758,3439,£553,"£5,848",27729,30637,2908,£99,"£1,000",£651,"£6,849",£77,£969,£729,"£7,818","£24,182","-£24,182"
