year,month,tmax degC,tmin degC,af days,rain mm
2012,9,18.0,9.0,0,46.4   
2012,10,14.0,7.2,2,93.6 
2012,11,10.6,3.5,6,138.6 
2012,12,9.7,2.7,7,135.0 
2013,1,7.5,2.4,11,82.4 
2013,2,6.8,0.7,12,31.8 
2013,3,7.4,0.0,17,41.2 
2013,4,12.1,3.4,8,18.6 
2013,5,15.5,5.7,1,49.2 
2013,6,19.0,10.0,0,25.7 
2013,7,25.3,13.0,0,40.4 
2013,8,22.4,12.3,0,15.2 
2013,9,19.2,10.1,0,67.6 
2013,10,16.5,10.0,0,115.8 
2013,11,10.5,2.9,7,42.9 
2013,12,10.7,2.7,5,121.4 
2014,1,10.0,2.8,7,166.4 
2014,2,10.0,3.8,1,131.2 
2014,3,12.3,3.5,3,38.4 
2014,4,14.7,5.7,0,62.2 
2014,5,17.1,8.8,0,59.6 
2014,6,20.7,11.1,0,79.0 
2014,7,23.3,12.8,0,56.8 
2014,8,19.8,11.0,0,74.6 
2014,9,21.1,10.5,0,3.2 
2014,10,16.6,10.1,0,99.8 
2014,11,12.4,5.5,2,108.0 
2014,12,9.6,1.6,12,34.8 
2015,1,9.5,2.2,7,75.4 
2015,2,8.0, 0.2,13,41.8 
2015,3,10.9,2.8,7,27.9 
2015,4,15.5,4.2,4,25.8 
2015,5,16.0,7.2,0,55.2 
2015,6,20.1,9.5,0,23.8 
2015,7,21.3,12.0,0,66.6 
2015,8,20.2,11.5,0,95.6 
2015,9,18.2,8.0,0,50.0 
2015,10,15.4,7.2,1,58.6 
2015,11,13.5,7.7,3,51.0 
2015,12,13.5,8.8,0,65.4 
2016,1,10.0,2.5,9,84.4 
2016,2,9.4,2.0,11,80.4 
2016,3,10.4,1.4,13,77.0 
2016,4,12.8,3.4,6,45.2 
2016,5,17.9,7.8,1,61.0 
2016,6,19.4,11.7,0,111.0 
2016,7,21.8,12.8,0,4.4 
2016,8,22.8,12.5,0,35.2 
2016,9,20.4,12.1,0,47.6 
2016,10,15.2,6.0,1,35.6 
2016,11,10.4,2.6,7,91.4 
2016,12,10.0,2.7,11,17.2 
2017,1,8.5,0.7,14,58.8 
2017,2,9.9,3.8,7,42.6 
2017,3,13.1,5.4,1,62.0 
2017,4,14.6,3.8,2,12.2 
2017,5,18.2,8.8,0,64.4 
2017,6,21.2,11.7,0,60.6 
2017,7,21.7,13.1,0,68.0 
2017,8,20.7,11.6,0,41.8 
2017,9,18.0,10.1,0,52.8 
2017,10,16.5,9.6,1,35.0 
2017,11,11.4,3.0,7,67.8 
2017,12,9.8,2.2,12,81.4 
2018,1,10.2,2.8,6,69.2 
2018,2,7.3,-0.1,15,28.4 
2018,3,9.3, 2.1,9,121.4 
2018,4,14.2,7.2,0,58.4 
2018,5,19.0,7.4,0,45.4 
2018,6,22.8,11.6,0,5.6 
2018,7,25.9,13.5,0,13.8 
2018,8,22.6,12.8,0,53.8 
2018,9,19.6,9.4,0,36.4 
2018,10,15.4,6.2,4,51.8 
2018,11,12.1,5.3,4,102.6 
2018,12,11.0,5.3,2,94.2 
2019,1,7.8,1.0,14,36.0 
2019,2,11.8,1.9,10,45.0 
2019,3,12.3,4.8,2,66.0 
2019,4,14.8,4.7,2,49.4 
2019,5,17.3,6.1,2,17.6 
2019,6,19.4,10.4,0,71.2 
2019,7,24.0,12.6,0,14.8 
2019,8,22.6,12.4,0,38.4 
2019,9,19.9,11.0,0,83.8 
2019,10,14.9,7.6,1,112.4 
2019,11,10.4,4.3,4,87.0 
2019,12,10.3,3.2,7,139.4 
2020,1,9.6,4.1,5,54.4 
2020,2,10.8,4.5,2,117.4 
2020,3,11.5,3.0,6,43.4 
2020,4,17.5,5.3,3,39.8 
2020,5,19.7,6.8,2,3.6 
2020,6,20.5,11.0,0,101.4 
2020,7,21.4,11.7,0,40.2 
2020,8,22.4,13.9,0,90.0 
2020,9,20.0,9.6,0,31.6 
2020,10,14.7,8.1,0,115.0 
2020,11,12.8,5.7,6,59.4 
2020,12,9.2,2.9,7,94.2 
2021,1,7.5,0.9,16,79.4 
2021,2,9.5,2.4,11,63.4 
2021,3,11.7,2.8,9,27.8 
2021,4,12.9,0.7,15,17.2 
2021,5,15.1,6.2,4,98.2 
2021,6,20.6,11.3,0,42.0 
2021,7,22.9,13.8,0,91.0 
2021,8,20.7,12.0,0,30.2 
2021,9,21.2,11.5,0,44.0 
2021,10,16.4,9.3,0,115.8 
2021,11,11.5,3.6,9,12.2 
2021,12,10.8,5.0,3,65.4 
2022,1,9.0,0.5,15,22.4 
2022,2,11.2,3.8,4,42.8 
2022,3,13.1,3.5,5,49.2 
2022,4,14.9,3.8,6,21.2 
2022,5,18.1,8.4,0,58.4 
2022,6,20.6,9.5,0,70.0 
2022,7,24.3,11.8,0,11.4 
2022,8,25.7,12.8,0,15.4 
2022,9,19.8,9.9,0,57.4 
2022,10,17.9,9.8,1,111.2 
2022,11,13.2,6.9,1,131.8 
2022,12,7.8,0.4,13,81.4 
2023,1,9.0,1.4,12,80.6   
2023,2,10.6,2.0,10,5.4   
2023,3,11.0,4.8,2,113.2   
2023,4,13.7,4.6,4,59.6   
2023,5,18.5,7.5,0,68.4   
2023,6,23.4,12.0,0,22.8   
2023,7,20.7,12.9,0,96.0   
2023,8,21.4,12.4,0,56.8   
2023,9,22.3,12.5,0,54.6   
